dataset,model,variant,seed,f1,f1_std,f1_ci_lo,f1_ci_hi,precision,recall,accuracy,auc,ece_pre,ece_post_temp,temperature_T,train_s,ms_per_sample,peak_ram_mb,peak_vram_mb,trainable_params,git_commit,n_seeds,f1_min,f1_max,precision_std,precision_min,precision_max,recall_std,recall_min,recall_max,accuracy_std,accuracy_min,accuracy_max,train_s_std,train_s_min,train_s_max,ms_per_sample_std,ms_per_sample_min,ms_per_sample_max,peak_ram_mb_std,peak_ram_mb_min,peak_ram_mb_max,peak_vram_mb_std,peak_vram_mb_min,peak_vram_mb_max,auc_std,auc_min,auc_max,ece_pre_std,ece_pre_min,ece_pre_max,ece_post_temp_std,ece_post_temp_min,ece_post_temp_max
euvsdisinfo,llama31-8b,lora_big,13,0.9794489338003687,0.0030429593606787235,0.9734957102482757,0.9854398588328179,0.979289929485906,0.9797367159571483,0.9794784999999999,,,,,4589.897,2294.948,5785.6,15112.5,83886080,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
euvsdisinfo,llama31-8b,lora_big,42,0.9676395072604553,0.003989945244845772,0.9593834099701608,0.975000282290058,0.9670147090415765,0.9688576315697118,0.9677625000000001,,,,,5046.745,2523.373,5641.9,15112.5,83886080,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
euvsdisinfo,llama31-8b,lora_big,71,0.9749121825897137,0.0034160522847606315,0.967984504500178,0.9814983524272446,0.9748026160696843,0.9751425994490016,0.9749410000000001,,,,,6043.247,3021.623,5713.6,15112.5,83886080,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
euvsdisinfo,llama31-8b,zs_short,13,0.6137625449222748,0.015690607413539056,0.5823805633230876,0.6443556044488996,0.7863508353189546,0.6638542437659565,0.6504670000000001,,,,,341.851,341.851,4917.1,6505.4,0,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
euvsdisinfo,llama31-8b,zs_short,42,0.6269056589752641,0.015454292744539154,0.5981004588122174,0.6599149562683384,0.7817308692213205,0.6772198304189946,0.654307,,,,,428.337,428.337,4886.8,6502.6,0,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
euvsdisinfo,llama31-8b,zs_short,71,0.6071713837489127,0.01611822231028282,0.5762963941705765,0.6386537291961766,0.7891418211928465,0.6587880962912409,0.647463,,,,,545.724,545.724,4881.3,6503.0,0,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
euvsdisinfo,lr,tfidf,113,0.9305864980111599,0.005510406396112388,0.9197817989479606,0.9411819265539766,0.9301223563156337,0.9311601275358771,0.9316177884615384,0.9780346353879732,0.48717015566016525,,,13.978,6.72,1573.6,0.0,0,3bda4457c1cc03871c6496ea2af2c4e60872accf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
euvsdisinfo,lr,tfidf,13,0.9420372247704403,0.004927360551909019,0.9322421144232128,0.9516733464416102,0.9419096750581969,0.9423374503091076,0.9421155234657037,0.9817154730519442,0.45206552880046236,,,15.276,6.894,1194.2,0.0,0,3bda4457c1cc03871c6496ea2af2c4e60872accf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
euvsdisinfo,lr,tfidf,42,0.9365046103514221,0.005319636949822536,0.9255067525072332,0.9469853799591926,0.9360483843578163,0.9372894575864111,0.9367583643122677,0.9838974143185196,0.46462079248077937,,,15.627,7.261,1070.9,0.0,0,3bda4457c1cc03871c6496ea2af2c4e60872accf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
euvsdisinfo,lr,tfidf,71,0.9355284440530722,0.005187211785541888,0.9255863300737622,0.9450989847412742,0.9355573504338786,0.9355543419822977,0.9356240362811791,0.9836618340537059,0.45150025460610743,,,15.147,6.87,1168.7,0.0,0,3bda4457c1cc03871c6496ea2af2c4e60872accf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
euvsdisinfo,lr,tfidf,89,0.9389343593331069,0.005173465392880041,0.9284623280208615,0.9487126466583579,0.9389698529253225,0.9389535851411499,0.9394187588820464,0.9812180359496724,0.47853981374950266,,,14.975,7.094,1394.9,0.0,0,3bda4457c1cc03871c6496ea2af2c4e60872accf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
euvsdisinfo,mbert,finetune,113,0.9517475676590947,0.004688358528904722,0.9427926801214807,0.960818119361855,0.9534812851403127,0.950359500955843,0.9526798076923075,0.9896817344156476,0.5499575417367781,0.5320573953402084,1.5078602500258838,833.538,400.739,4362.9,2427.0,177854978,3bda4457c1cc03871c6496ea2af2c4e60872accf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
